active,quiet,arrested,tension
56,879,175,0.1474291355984676
54,858,198,0.1439069378196646
33,863,214,0.1447455563384272
25,860,225,0.14424238522716964
38,835,237,0.14004929263335655
41,815,254,0.13669481855830612
39,801,270,0.1343466867057708
13,813,284,0.13635937115080105
8,825,277,0.13837205559583132
5,836,269,0.1402170163371091
2,849,259,0.14239742448589188
6,854,250,0.1432360430046545
3,858,249,0.1439069378196646
1,869,240,0.14575189856094237
1,880,229,0.1475968593022201
5,885,220,0.1484354778209827
2,894,214,0.1499449911547554
9,889,212,0.14910637263599283
18,871,221,0.1460873459684474
24,858,228,0.1439069378196646
21,859,230,0.14407466152341714
15,863,232,0.1447455563384272
12,862,236,0.14457783263467466
11,869,230,0.14575189856094237
0,881,229,0.14776458300597264
0,897,213,0.15044816226601299
2,909,199,0.15246084671104326
0,921,189,0.15447353115607354
0,935,175,0.15682166300860884
1,943,166,0.15816345263862902
1,954,155,0.1600084133799068
1,966,143,0.16202109782493707
1,976,133,0.1636983348624623
4,975,131,0.16353061115870976
6,973,131,0.1631951637512047
2,982,126,0.1647046770849774
7,977,126,0.1638660585662148
5,973,132,0.1631951637512047
13,957,140,0.16051158449116434
34,918,158,0.15397036004481596
67,861,182,0.14441010893092218
86,813,211,0.13635937115080105
104,765,241,0.12830863337067996
97,744,269,0.124786435591877
94,722,294,0.1210965141093215
79,708,323,0.11874838225678618
64,708,338,0.11874838225678618
41,715,354,0.11992244818305382
25,729,356,0.12227058003558915
13,737,360,0.12361236966560933
7,748,355,0.12545733040688709
1,759,350,0.12730229114816485
3,774,333,0.12981814670445266
0,791,319,0.1326694496682456
0,807,303,0.13535302892828593
1,824,285,0.1382043318920788
9,822,279,0.13786888448457377
17,818,275,0.1371979896695637
20,815,275,0.13669481855830612
12,820,278,0.13753343707706875
14,820,276,0.13753343707706875
10,832,268,0.139546121522099
3,845,262,0.14172652967088178
3,859,248,0.14407466152341714
16,859,235,0.14407466152341714
18,850,242,0.14256514818964441
17,856,237,0.14357149041215955
27,844,239,0.14155880596712928
17,849,244,0.14239742448589188
12,851,247,0.14273287189339695
16,851,243,0.14273287189339695
6,866,238,0.14524872744968478
2,883,225,0.14810003041347766
1,899,210,0.15078360967351806
0,908,202,0.15229312300729073
0,924,186,0.1549767022673311
3,935,172,0.15682166300860884
0,943,167,0.15816345263862902
1,947,162,0.1588343474536391
16,930,164,0.15598304448984626
15,923,172,0.1548089785635786
20,905,185,0.15178995189603317
13,901,196,0.1511190570810231
6,907,197,0.15212539930353822
0,919,191,0.1541380837485685
1,924,185,0.1549767022673311
0,933,177,0.1564862156011038
0,944,166,0.15833117634238156
0,954,156,0.1600084133799068
12,944,154,0.15833117634238156
19,933,158,0.1564862156011038
3,945,162,0.15849890004613407
8,945,157,0.15849890004613407
10,940,160,0.1576602815273715
52,886,172,0.14860320152473522
79,829,202,0.13904295041084144
79,799,232,0.13401123929826575
56,793,261,0.1330048970757506
37,790,283,0.13250172596449306
17,804,289,0.13484985781702835
9,807,294,0.13535302892828593
1,823,286,0.13803660818832628
0,831,279,0.1393783978183465
1,839,270,0.14072018744836667
0,857,253,0.14373921411591206
0,870,240,0.14591962226469488
3,878,229,0.14726141189471506
5,886,219,0.14860320152473522
4,892,214,0.14960954374725036
0,898,212,0.1506158859697655
8,899,203,0.15078360967351806
12,889,209,0.14910637263599283
19,876,215,0.14692596448721001
35,861,214,0.14441010893092218
43,845,222,0.14172652967088178
41,831,238,0.1393783978183465
32,826,252,0.13853977929958386
15,830,265,0.13921067411459398
11,839,260,0.14072018744836667
27,826,257,0.13853977929958386
28,830,252,0.13921067411459398
21,842,247,0.14122335855962423
17,849,244,0.14239742448589188
12,854,244,0.1432360430046545
1,871,238,0.1460873459684474
3,882,225,0.14793230670972513
0,895,215,0.15011271485850794
19,881,210,0.14776458300597264
46,838,226,0.14055246374461414
57,806,247,0.1351853052245334
48,796,266,0.13350806818700817
32,793,285,0.1330048970757506
18,789,303,0.13233400226074052
2,803,305,0.13468213411327584
0,815,295,0.13669481855830612
3,830,277,0.13921067411459398
16,818,276,0.1371979896695637
23,817,270,0.13703026596581117
21,810,279,0.13585620003954352
17,815,278,0.13669481855830612
8,829,273,0.13904295041084144
2,841,267,0.14105563485587172
0,859,251,0.14407466152341714
7,864,239,0.14491328004217974
0,876,234,0.14692596448721001
4,891,215,0.14944182004349787
24,877,209,0.14709368819096255
35,861,214,0.14441010893092218
39,846,225,0.14189425337463432
51,824,235,0.1382043318920788
54,803,253,0.13468213411327584
20,816,274,0.13686254226205866
8,829,273,0.13904295041084144
0,845,265,0.14172652967088178
2,861,247,0.14441010893092218
49,815,246,0.13669481855830612
73,776,261,0.1301535941119577
58,767,285,0.12864408077818504
45,766,299,0.12847635707443247
23,780,307,0.13082448892696782
11,800,299,0.1341789630020183
11,797,302,0.1336757918907607
8,803,299,0.13468213411327584
9,820,281,0.13753343707706875
7,814,289,0.13652709485455358
7,827,276,0.1387075030033364
1,842,267,0.14122335855962423
1,855,254,0.14340376670840702
6,865,239,0.14508100374593225
14,863,233,0.1447455563384272
12,870,228,0.14591962226469488
28,845,237,0.14172652967088178
9,859,242,0.14407466152341714
36,833,241,0.1397138452258515
65,786,259,0.13183083114948294
64,764,282,0.12814090966692743
44,781,285,0.13099221263072036
16,807,287,0.13535302892828593
8,816,286,0.13686254226205866
10,826,274,0.13853977929958386
9,829,272,0.13904295041084144
11,828,271,0.13887522670708893
16,831,263,0.1393783978183465
14,836,260,0.1402170163371091
21,834,255,0.13988156892960404
12,852,246,0.14290059559714946
7,865,238,0.14508100374593225
2,875,233,0.14675824078345748
10,877,223,0.14709368819096255
24,862,224,0.14457783263467466
32,853,225,0.14306831930090197
19,848,243,0.14222970078213937
11,857,242,0.14373921411591206
2,869,239,0.14575189856094237
6,868,236,0.14558417485718983
4,886,220,0.14860320152473522
0,894,216,0.1499449911547554
1,906,203,0.15195767559978568
8,913,189,0.15313174152605336
17,903,190,0.15145450448852812
44,864,202,0.14491328004217974
83,804,223,0.13484985781702835
94,785,231,0.13166310744573043
67,780,263,0.13082448892696782
41,789,280,0.13233400226074052
23,793,294,0.1330048970757506
7,806,297,0.1351853052245334
0,822,288,0.13786888448457377
2,829,279,0.13904295041084144
3,838,269,0.14055246374461414
9,835,266,0.14004929263335655
3,846,261,0.14189425337463432
11,847,252,0.14206197707838683
13,842,255,0.14122335855962423
14,850,246,0.14256514818964441
11,851,248,0.14273287189339695
20,852,238,0.14290059559714946
10,856,244,0.14357149041215955
2,866,242,0.14524872744968478
1,875,234,0.14675824078345748
2,879,229,0.1474291355984676
5,883,222,0.14810003041347766
4,883,223,0.14810003041347766
0,897,213,0.15044816226601299
4,897,209,0.15044816226601299
3,905,202,0.15178995189603317
6,911,193,0.15279629411854834
24,896,190,0.15028043856226045
52,857,201,0.14373921411591206
72,812,226,0.13619164744704854
48,815,247,0.13669481855830612
22,825,263,0.13837205559583132
6,839,265,0.14072018744836667
4,851,255,0.14273287189339695
3,864,243,0.14491328004217974
