time,active
329,563
330,559
331,564
332,563
333,575
334,575
335,551
336,553
337,564
338,564
339,574
340,553
341,535
342,535
343,508
344,494
345,492
346,521
347,503
348,497
349,513
350,531
351,506
352,513
353,518
354,540
355,567
356,565
357,560
358,570
359,568
360,562
361,558
362,558
363,576
364,573
365,575
366,575
367,569
368,570
369,561
370,570
371,570
372,568
373,554
374,558
375,570
376,558
377,551
378,554
379,563
380,564
381,570
382,555
383,558
384,559
385,567
386,571
387,567
388,570
389,566
390,565
391,559
392,566
393,561
394,562
395,553
396,563
397,574
398,568
399,569
400,563
401,577
402,569
403,563
404,557
405,570
406,564
407,564
408,556
409,565
410,558
411,543
412,527
413,557
414,567
415,568
416,565
417,575
418,568
419,557
420,569
421,555
422,564
423,568
424,558
425,561
426,570
427,569
428,558
429,568
430,563
431,541
432,544
433,532
434,536
435,557
436,569
437,571
438,564
439,579
440,548
441,547
442,550
443,575
444,565
445,566
446,567
447,571
448,563
449,560
450,566
451,570
452,563
453,569
454,556
455,549
456,533
457,543
458,564
459,576
460,568
461,558
462,561
463,565
464,547
465,542
466,520
467,496
468,484
469,499
470,504
471,510
472,512
473,495
474,487
475,496
476,515
477,532
478,565
479,561
480,564
481,566
482,573
483,577
484,568
485,573
486,567
487,572
488,561
489,553
490,571
491,566
492,563
493,560
494,569
495,562
496,556
497,529
498,522
499,507
500,521
501,556
502,555
503,570
504,569
505,569
506,564
507,560
508,550
509,545
510,570
511,565
512,566
513,559
514,567
515,578
516,568
517,566
518,574
519,557
520,550
521,555
522,574
523,564
524,567
525,560
526,568
527,575
528,566
529,576
530,570
531,573
532,564
533,569
534,559
535,560
536,555
537,567
538,566
539,559
540,562
541,565
542,571
543,570
544,565
545,561
546,573
547,574
548,560
549,563
550,565
551,568
552,567
553,567
554,569
555,562
556,563
557,564
558,562
559,566
560,567
561,561
562,556
563,562
564,567
565,574
566,564
567,560
568,565
569,538
570,529
571,519
572,512
573,502
574,518
575,522
576,507
577,531
578,554
579,570
580,567
581,560
582,566
583,567
584,568
585,567
586,572
587,552
588,553
589,544
590,527
591,521
592,517
593,554
594,551
595,561
596,563
597,574
598,560
599,551
600,538
601,540
602,540
603,558
604,548
605,544
606,543
607,551
608,574
609,560
610,564
611,565
612,542
613,544
614,530
615,528
616,545
617,561
618,561
619,545
620,534
621,540
622,578
623,564
624,564
625,570
626,561
627,557
628,572
629,563
630,550
631,551
632,560
633,575
634,564
635,552
636,545
637,564
638,554
639,567
640,561
641,557
642,551
643,545
644,574
645,564
646,576
647,572
648,577
649,576
650,571
651,574
652,568
653,570
654,568
655,563
656,575
657,561
658,565
659,563
660,567
661,562
662,561
663,558
664,565
665,567
666,555
667,555
668,571
669,570
670,567
671,566
672,571
673,566
674,565
675,562
676,570
677,567
678,568
679,562
680,564
681,566
682,565
683,569
684,565
685,567
686,567
687,565
688,569
689,582
690,566
691,569
692,573
693,563
694,571
695,560
696,575
697,569
698,566
699,553
700,548
701,545
702,563
703,561
704,576
705,560
706,564
707,563
708,567
709,570
710,568
711,561
712,566
713,567
714,566
715,561
716,562
717,550
718,557
719,563
720,562
721,564
722,508
723,480
724,474
725,464
726,467
727,480
728,484
729,481
730,484
731,491
732,539
733,569
734,572
735,567
736,567
737,561
738,566
739,563
740,569
741,573
742,567
743,565
744,561
745,566
746,569
747,555
748,565
749,557
750,550
751,542
752,550
753,556
754,558
755,567
756,556
757,536
758,522
759,522
760,548
761,546
762,559
763,565
764,563
765,568
766,572
767,558
768,556
769,562
770,533
771,523
772,488
773,474
774,474
775,469
776,461
777,482
778,562
779,568
780,554
781,571
782,562
783,562
784,551
785,564
786,554
787,558
788,573
789,576
790,570
791,565
792,571
793,566
794,566
795,568
796,558
797,569
798,564
799,571
800,569
801,568
802,561
803,566
804,563
805,570
806,567
807,559
808,555
809,557
810,560
811,568
812,564
813,561
814,566
815,555
816,566
817,537
818,527
819,528
820,532
821,562
822,568
823,567
824,562
825,553
826,561
827,574
828,561
829,535
830,531
831,536
832,527
833,523
834,532
835,530
836,538
837,560
838,567
839,568
840,575
841,564
842,554
843,556
844,566
845,571
846,575
847,572
848,560
849,578
850,575
851,576
852,556
853,560
854,566
855,556
856,553
857,517
858,488
859,486
860,482
861,463
862,453
863,472
864,484
865,503
866,494
867,508
868,517
869,534
870,546
871,550
872,559
873,561
874,559
875,560
876,570
877,576
878,555
879,548
880,546
881,512
882,505
883,483
884,472
885,474
886,483
887,484
888,498
889,530
890,572
891,556
892,568
893,574
894,574
895,577
896,567
897,567
898,563
899,555
900,580
901,562
902,565
903,570
904,564
905,568
906,567
907,573
908,565
909,570
910,568
911,563
912,568
913,565
914,561
915,536
916,533
917,546
918,555
919,560
920,569
921,567
922,558
923,562
924,559
925,553
926,545
927,540
928,516
929,540
930,557
931,575
932,564
933,563
934,566
935,578
936,567
937,565
938,560
939,555
940,547
941,566
942,570
943,561
944,568
945,572
946,569
947,565
948,565
949,570
950,571
951,560
952,566
953,569
954,577
955,562
956,559
957,573
958,563
959,571
960,561
961,564
962,563
963,565
964,565
965,557
966,562
967,571
968,570
969,561
970,573
971,562
972,563
973,556
974,562
975,570
976,574
977,571
978,564
979,573
980,573
981,564
982,569
983,571
984,564
985,577
986,557
987,573
988,562
989,568
990,554
991,563
992,571
993,567
994,577
995,575
996,563
997,553
998,551
999,555
1000,569
1001,563
