index,cop_density,legitimacy,active_threshold,cv
52,0.0746875,0.9440625,0.0640625,0.0
53,0.0128125,0.6684375,0.0640625,0.0147271590835482
54,0.0128125,0.9440625,0.1390625,0.0
55,0.0128125,0.9440625,0.0640625,0.0
56,0.0296875,0.9134375,0.0640625,1.4826914297003828
57,0.0578125,0.9134375,0.0640625,2.527314444462182
58,0.0296875,0.6990625,0.0640625,0.4992884908063876
59,0.0296875,0.9134375,0.1390625,0.0
60,0.0296875,0.6990625,0.1390625,0.6131862785048883
61,0.0578125,0.9134375,0.1390625,0.0
62,0.0578125,0.6990625,0.0640625,1.5356736909646875
63,0.0578125,0.6990625,0.1390625,2.0402782988501795
64,0.0240625,0.5765625,0.1296875,0.0883163160144498
65,0.0859375,0.5765625,0.1296875,1.4816261503438428
66,0.0240625,0.9134375,0.1296875,0.0
67,0.0240625,0.5765625,0.1484375,0.1646010002174385
68,0.0240625,0.9134375,0.1484375,0.0
69,0.0859375,0.5765625,0.1484375,1.4891601987371854
70,0.0859375,0.9134375,0.1296875,0.0
71,0.0859375,0.9134375,0.1484375,0.0
72,0.0690625,0.8215625,0.0546875,2.5491600498495868
73,0.0409375,0.8215625,0.0546875,0.9024676605124288
74,0.0690625,0.6684375,0.0546875,1.4907864979195735
75,0.0690625,0.8215625,0.0734375,2.5166799877789137
76,0.0690625,0.6684375,0.0734375,1.711757176177302
77,0.0409375,0.8215625,0.0734375,1.418762876570378
78,0.0409375,0.6684375,0.0546875,1.0446336176777635
79,0.0409375,0.6684375,0.0734375,1.132695811108035
80,0.0915625,0.6990625,0.1671875,2.3861847269271523
81,0.0634375,0.6990625,0.1671875,2.252141477299153
82,0.0915625,0.5459375,0.1671875,1.2143404674633331
83,0.0915625,0.6990625,0.1109375,1.7559229214639376
84,0.0915625,0.5459375,0.1109375,1.0040733366174617
85,0.0634375,0.6990625,0.1109375,1.851706058545324
86,0.0634375,0.5459375,0.1671875,1.89119827222562
87,0.0634375,0.5459375,0.1109375,1.837503557257042
88,0.0465625,0.9440625,0.0921875,0.0
89,0.0184375,0.9440625,0.0921875,0.0
90,0.0465625,0.7909375000000001,0.0921875,1.217095207012012
91,0.0465625,0.9440625,0.1859375,0.0
92,0.0465625,0.7909375000000001,0.1859375,2.023181473919748
93,0.0184375,0.9440625,0.1859375,0.0
94,0.0184375,0.7909375000000001,0.0921875,0.1452176689300827
95,0.0184375,0.7909375000000001,0.1859375,0.7711579103545386
96,0.0353125,0.6378125,0.0734375,0.393525463936383
97,0.0296875,0.6378125,0.0734375,0.0641881446664614
98,0.0353125,0.8521875,0.0734375,1.1813702973881488
99,0.0353125,0.6378125,0.1296875,0.8347301028629462
100,0.0353125,0.8521875,0.1296875,1.276760780819428
101,0.0296875,0.6378125,0.1296875,0.2138942388278378
